app_exec_id,script_run_id,app__name,execution_site,start_time,duration,staging_in_duration,staging_out_duration,work_directory,file_id,host,name,size,modify,type
,,,,,,,,,quaternion.local:frag003.pin:6112:1425321312.0,quaternion.local,frag003.pin,6112,1425321312,File
,,,,,,,,,quaternion.local:frag003.phr:124434:1425321312.0,quaternion.local,frag003.phr,124434,1425321312,File
,,,,,,,,,quaternion.local:frag003.psq:350956:1425321312.0,quaternion.local,frag003.psq,350956,1425321312,File
,,,,,,,,,quaternion.local:frag005.psq:341243:1425321312.0,quaternion.local,frag005.psq,341243,1425321312,File
,,,,,,,,,quaternion.local:frag005.pin:6112:1425321312.0,quaternion.local,frag005.pin,6112,1425321312,File
,,,,,,,,,quaternion.local:frag005.phr:126062:1425321312.0,quaternion.local,frag005.phr,126062,1425321312,File
,,,,,,,,,quaternion.local:frag004.psq:358904:1425321312.0,quaternion.local,frag004.psq,358904,1425321312,File
,,,,,,,,,quaternion.local:frag004.pin:6112:1425321312.0,quaternion.local,frag004.pin,6112,1425321312,File
,,,,,,,,,quaternion.local:frag004.phr:124170:1425321312.0,quaternion.local,frag004.phr,124170,1425321312,File
,,,,,,,,,quaternion.local:frag008.pin:6104:1425321312.0,quaternion.local,frag008.pin,6104,1425321312,File
,,,,,,,,,quaternion.local:frag008.psq:346630:1425321312.0,quaternion.local,frag008.psq,346630,1425321312,File
,,,,,,,,,quaternion.local:frag008.phr:125676:1425321312.0,quaternion.local,frag008.phr,125676,1425321312,File
,,,,,,,,,quaternion.local:frag007.pin:6104:1425321312.0,quaternion.local,frag007.pin,6104,1425321312,File
,,,,,,,,,quaternion.local:frag007.phr:126335:1425321312.0,quaternion.local,frag007.phr,126335,1425321312,File
,,,,,,,,,quaternion.local:frag007.psq:345846:1425321312.0,quaternion.local,frag007.psq,345846,1425321312,File
,,,,,,,,,quaternion.local:frag006.phr:125704:1425321312.0,quaternion.local,frag006.phr,125704,1425321312,File
,,,,,,,,,quaternion.local:frag006.pin:6104:1425321312.0,quaternion.local,frag006.pin,6104,1425321312,File
,,,,,,,,,quaternion.local:frag006.psq:347025:1425321312.0,quaternion.local,frag006.psq,347025,1425321312,File
,,,,,,,,,quaternion.local:sequencia.seq:1516:1418414837.0,quaternion.local,sequencia.seq,1516,1418414837,File
,,,,,,,,,quaternion.local:frag002.html:9142:1425321313.0,quaternion.local,frag002.html,9142,1425321313,File
,,,,,,,,,quaternion.local:frag001.html:9140:1425321313.0,quaternion.local,frag001.html,9140,1425321313,File
,,,,,,,,,quaternion.local:frag005.html:9144:1425321313.0,quaternion.local,frag005.html,9144,1425321313,File
,,,,,,,,,quaternion.local:frag003.html:9141:1425321313.0,quaternion.local,frag003.html,9141,1425321313,File
,,,,,,,,,quaternion.local:frag004.html:9145:1425321313.0,quaternion.local,frag004.html,9145,1425321313,File
,,,,,,,,,quaternion.local:frag008.html:9142:1425321313.0,quaternion.local,frag008.html,9142,1425321313,File
,,,,,,,,,quaternion.local:frag006.html:9141:1425321313.0,quaternion.local,frag006.html,9141,1425321313,File
,,,,,,,,,quaternion.local:frag007.html:9142:1425321313.0,quaternion.local,frag007.html,9142,1425321313,File
,,,,,,,,,quaternion.local:output.html:9124:1425321313.0,quaternion.local,output.html,9124,1425321313,File
,,,,,,,,,quaternion.local::374:1432666439.0,quaternion.local,,374,1432666439,File
,,,,,,,,,quaternion.local:output/bias_7.dat:180:1432666432.0,quaternion.local,output/bias_7.dat,180,1432666432,File
,,,,,,,,,quaternion.local:output/seed.dat:9:1432666432.0,quaternion.local,output/seed.dat,9,1432666432,File
,,,,,,,,,quaternion.local:output/bias_3.dat:180:1432666432.0,quaternion.local,output/bias_3.dat,180,1432666432,File
,,,,,,,,,quaternion.local:output/bias_8.dat:180:1432666432.0,quaternion.local,output/bias_8.dat,180,1432666432,File
,,,,,,,,,quaternion.local:output/bias_9.dat:180:1432666432.0,quaternion.local,output/bias_9.dat,180,1432666432,File
,,,,,,,,,quaternion.local:output/bias_2.dat:180:1432666432.0,quaternion.local,output/bias_2.dat,180,1432666432,File
,,,,,,,,,quaternion.local:output/bias_0.dat:180:1432666432.0,quaternion.local,output/bias_0.dat,180,1432666432,File
,,,,,,,,,quaternion.local:output/bias_1.dat:180:1432666432.0,quaternion.local,output/bias_1.dat,180,1432666432,File
,,,,,,,,,quaternion.local:output/bias_5.dat:180:1432666433.0,quaternion.local,output/bias_5.dat,180,1432666433,File
,,,,,,,,,quaternion.local:output/bias_6.dat:180:1432666433.0,quaternion.local,output/bias_6.dat,180,1432666433,File
,,,,,,,,,quaternion.local:output/bias_4.dat:180:1432666433.0,quaternion.local,output/bias_4.dat,180,1432666433,File
,,,,,,,,,quaternion.local:output/sim_7.out:90:1432666434.0,quaternion.local,output/sim_7.out,90,1432666434,File
,,,,,,,,,quaternion.local:output/sim_7.log:2349:1432666434.0,quaternion.local,output/sim_7.log,2349,1432666434,File
,,,,,,,,,quaternion.local:output/sim_3.out:90:1432666434.0,quaternion.local,output/sim_3.out,90,1432666434,File
,,,,,,,,,quaternion.local:output/sim_3.log:2349:1432666434.0,quaternion.local,output/sim_3.log,2349,1432666434,File
,,,,,,,,,quaternion.local:output/sim_8.log:2349:1432666435.0,quaternion.local,output/sim_8.log,2349,1432666435,File
,,,,,,,,,quaternion.local:output/sim_8.out:90:1432666435.0,quaternion.local,output/sim_8.out,90,1432666435,File
,,,,,,,,,quaternion.local:output/sim_9.out:90:1432666435.0,quaternion.local,output/sim_9.out,90,1432666435,File
,,,,,,,,,quaternion.local:output/sim_9.log:2349:1432666435.0,quaternion.local,output/sim_9.log,2349,1432666435,File
,,,,,,,,,quaternion.local:output/sim_2.log:2349:1432666436.0,quaternion.local,output/sim_2.log,2349,1432666436,File
,,,,,,,,,quaternion.local:output/sim_2.out:90:1432666436.0,quaternion.local,output/sim_2.out,90,1432666436,File
,,,,,,,,,quaternion.local:output/sim_0.log:2349:1432666436.0,quaternion.local,output/sim_0.log,2349,1432666436,File
,,,,,,,,,quaternion.local:output/sim_0.out:90:1432666436.0,quaternion.local,output/sim_0.out,90,1432666436,File
,,,,,,,,,quaternion.local:output/sim_1.out:90:1432666437.0,quaternion.local,output/sim_1.out,90,1432666437,File
,,,,,,,,,quaternion.local:output/sim_1.log:2349:1432666437.0,quaternion.local,output/sim_1.log,2349,1432666437,File
,,,,,,,,,quaternion.local:output/sim_6.out:90:1432666437.0,quaternion.local,output/sim_6.out,90,1432666437,File
,,,,,,,,,quaternion.local:output/sim_6.log:2349:1432666437.0,quaternion.local,output/sim_6.log,2349,1432666437,File
,,,,,,,,,quaternion.local:output/sim_5.out:90:1432666438.0,quaternion.local,output/sim_5.out,90,1432666438,File
,,,,,,,,,quaternion.local:output/sim_5.log:2349:1432666438.0,quaternion.local,output/sim_5.log,2349,1432666438,File
,,,,,,,,,quaternion.local:output/sim_4.out:90:1432666439.0,quaternion.local,output/sim_4.out,90,1432666439,File
,,,,,,,,,quaternion.local:output/sim_4.log:2349:1432666439.0,quaternion.local,output/sim_4.log,2349,1432666439,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[0]:0:0,quaternion.local,_concurrent/sims-40-R/[0],0,0,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[1]:0:0,quaternion.local,_concurrent/sims-40-R/[1],0,0,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[9]:0:0,quaternion.local,_concurrent/sims-40-R/[9],0,0,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[8]:0:0,quaternion.local,_concurrent/sims-40-R/[8],0,0,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[4]:0:0,quaternion.local,_concurrent/sims-40-R/[4],0,0,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[6]:0:0,quaternion.local,_concurrent/sims-40-R/[6],0,0,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[3]:0:0,quaternion.local,_concurrent/sims-40-R/[3],0,0,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[7]:0:0,quaternion.local,_concurrent/sims-40-R/[7],0,0,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[2]:0:0,quaternion.local,_concurrent/sims-40-R/[2],0,0,File
,,,,,,,,,quaternion.local:_concurrent/sims-40-R/[5]:0:0,quaternion.local,_concurrent/sims-40-R/[5],0,0,File
,,,,,,,,,quaternion.local:output/average.log:1970:1432666439.0,quaternion.local,output/average.log,1970,1432666439,File
,,,,,,,,,quaternion.local:output/average.out:9:1432666439.0,quaternion.local,output/average.out,9,1432666439,File
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
