EDGEID,"TYPE",HASH,SRCVERTEXHASH,DSTVERTEXHASH,"OPERATION","TIME"
125,"WasInformedBy",680327386,1265958895,1270365075,"fork","978314586.515"
126,"WasInformedBy",680328065,1265958902,1270365075,"fork","978314586.515"
127,"WasInformedBy",612544950,1265958895,1270365075,"fork","978314586.629"
128,"WasInformedBy",612545629,1265958902,1270365075,"fork","978314586.629"
129,"WasInformedBy",572460061,1265958895,1270365075,"fork","978314587.049"
130,"WasInformedBy",571839067,1265958895,1270365075,"fork","978314587.069"
131,"WasInformedBy",566250800,1265958902,1270365075,"fork","978314587.070"
132,"WasInformedBy",-1710940692,1270365062,2532226,NULL,NULL
133,"WasInformedBy",-549940358,1269263696,1270365062,NULL,NULL
134,"WasInformedBy",-549937060,1269263730,1270365062,NULL,NULL
135,"WasInformedBy",1799474856,1267518630,-505915618,NULL,NULL
136,"WasInformedBy",-1710936230,1270365108,2532226,NULL,NULL
137,"WasInformedBy",-549932164,1269263780,1270365108,NULL,NULL
138,"WasInformedBy",-549932261,1269263779,1270365108,NULL,NULL
139,"WasInformedBy",1799474371,1267518625,-505915618,NULL,NULL
140,"WasInformedBy",-1710937491,1270365095,2532226,NULL,NULL
141,"WasInformedBy",-549934699,1269263754,1270365095,NULL,NULL
142,"WasInformedBy",-549955457,1269263540,1270365095,NULL,NULL
143,"WasInformedBy",1799453225,1267518407,-505915618,NULL,NULL
144,"WasInformedBy",-1710957861,1270364885,2532226,NULL,NULL
145,"Used",275025270,1270364885,-97137843,"read","978314596.497"
146,"WasInformedBy",400168101,1265958961,1270364885,"fork","978314596.498"
147,"Used",275015861,1270364885,-97137843,"read","978314596.498"
148,"WasInformedBy",400168101,1265958961,1270364885,"fork","978314596.498"
149,"Used",274968816,1270364885,-97137843,"read","978314596.499"
150,"WasInformedBy",400121056,1265958961,1270364885,"fork","978314596.499"
151,"Used",274968816,1270364885,-97137843,"read","978314596.499"
152,"WasInformedBy",400121056,1265958961,1270364885,"fork","978314596.499"
153,"Used",274968816,1270364885,-97137843,"read","978314596.499"
154,"WasInformedBy",400121056,1265958961,1270364885,"fork","978314596.499"
155,"Used",274968816,1270364885,-97137843,"read","978314596.499"
156,"WasInformedBy",417273663,1265958961,1270364885,"fork","978314596.500"
157,"Used",292121423,1270364885,-97137843,"read","978314596.500"
158,"WasInformedBy",417273663,1265958961,1270364885,"fork","978314596.500"
159,"Used",292121423,1270364885,-97137843,"read","978314596.500"
160,"WasInformedBy",417273663,1265958961,1270364885,"fork","978314596.500"
161,"Used",292121423,1270364885,-97137843,"read","978314596.500"
162,"Used",292149650,1270364885,-97137843,"read","978314596.501"
163,"Used",292149650,1270364885,-97137843,"read","978314596.501"
164,"WasInformedBy",417301890,1265958961,1270364885,"fork","978314596.501"
165,"Used",292149650,1270364885,-97137843,"read","978314596.501"
166,"WasInformedBy",417301890,1265958961,1270364885,"fork","978314596.501"
167,"Used",292149650,1270364885,-97137843,"read","978314596.501"
168,"WasInformedBy",417301890,1265958961,1270364885,"fork","978314596.501"
169,"Used",292149650,1270364885,-97137843,"read","978314596.501"
170,"WasInformedBy",417301890,1265958961,1270364885,"fork","978314596.501"
171,"Used",292149650,1270364885,-97137843,"read","978314596.501"
172,"WasInformedBy",417292481,1265958961,1270364885,"fork","978314596.502"
173,"Used",292140241,1270364885,-97137843,"read","978314596.502"
174,"WasInformedBy",1799453710,1267518412,-505915618,NULL,NULL
175,"WasInformedBy",-1626885597,1922331370,1270364885,NULL,NULL
176,"WasInformedBy",1069503309,1265958958,1922331370,"fork","978314596.504"
177,"WasInformedBy",1069503309,1265958958,1922331370,"fork","978314596.504"
178,"WasInformedBy",1069531536,1265958958,1922331370,"fork","978314596.505"
179,"Used",292413102,1270364885,-97137843,"read","978314596.505"
180,"WasInformedBy",-1626886470,1922331361,1270364885,NULL,NULL
181,"WasInformedBy",1069521245,1265958949,1922331361,"fork","978314596.506"
182,"WasInformedBy",1069521245,1265958949,1922331361,"fork","978314596.506"
183,"WasInformedBy",1069474200,1265958949,1922331361,"fork","978314596.507"
184,"Used",292356648,1270364885,-97137843,"read","978314596.507"
185,"WasInformedBy",-1626886567,1922331360,1270364885,NULL,NULL
186,"Used",292347239,1270364885,-97137843,"read","978314596.508"
187,"WasInformedBy",-1626886664,1922331359,1270364885,NULL,NULL
188,"WasInformedBy",-974917474,1922331387,1922331359,NULL,NULL
189,"WasInformedBy",-974917571,1922331386,1922331359,NULL,NULL
190,"WasInformedBy",1069553280,1265958988,1922331386,"fork","978314596.510"
191,"WasInformedBy",1069553280,1265958988,1922331386,"fork","978314596.510"
192,"WasInformedBy",1069553280,1265958988,1922331386,"fork","978314596.510"
193,"WasInformedBy",1069543871,1265958988,1922331386,"fork","978314596.511"
194,"WasInformedBy",1069543871,1265958988,1922331386,"fork","978314596.511"
195,"WasInformedBy",1069543871,1265958988,1922331386,"fork","978314596.511"
196,"Used",292450738,1270364885,-97137843,"read","978314596.512"
197,"WasInformedBy",-1626882784,1922331399,1270364885,NULL,NULL
198,"WasInformedBy",-974913845,1922331424,1922331399,NULL,NULL
199,"WasInformedBy",-974913166,1922331431,1922331399,NULL,NULL
200,"WasInformedBy",1069563219,1265958993,1922331431,"fork","978314596.513"
201,"WasInformedBy",1069563219,1265958993,1922331431,"fork","978314596.513"
202,"WasInformedBy",1069563219,1265958993,1922331431,"fork","978314596.513"
203,"WasInformedBy",1069563219,1265958993,1922331431,"fork","978314596.513"
204,"WasInformedBy",1068612910,1265958993,1922331431,"fork","978314596.514"
205,"WasInformedBy",1067399149,1265958993,1922331431,"fork","978314596.559"
206,"Used",290408985,1270364885,-97137843,"read","978314596.560"
207,"WasInformedBy",-1626882299,1922331404,1270364885,NULL,NULL
208,"WasInformedBy",-974912870,1922331434,1922331404,NULL,NULL
209,"WasInformedBy",-974912967,1922331433,1922331404,NULL,NULL
210,"WasInformedBy",1067474132,1265958990,1922331433,"fork","978314596.562"
211,"WasInformedBy",1067474132,1265958990,1922331433,"fork","978314596.562"
212,"WasInformedBy",1067474132,1265958990,1922331433,"fork","978314596.562"
213,"WasInformedBy",1067474132,1265958990,1922331433,"fork","978314596.562"
214,"WasInformedBy",1067502359,1265958990,1922331433,"fork","978314596.563"
215,"WasInformedBy",1067502359,1265958990,1922331433,"fork","978314596.563"
216,"Used",290380758,1270364885,-97137843,"read","978314596.563"
217,"WasInformedBy",-1626883366,1922331393,1270364885,NULL,NULL
218,"WasInformedBy",-974915015,1922331412,1922331393,NULL,NULL
219,"WasInformedBy",-974913269,1922331430,1922331393,NULL,NULL
220,"WasInformedBy",1077435932,1265958966,1922331430,"fork","978314596.695"
221,"WasInformedBy",1077435932,1265958966,1922331430,"fork","978314596.695"
222,"WasInformedBy",1084530318,1265958966,1922331430,"fork","978314596.727"
223,"WasInformedBy",1084530318,1265958966,1922331430,"fork","978314596.727"
224,"WasInformedBy",1084520909,1265958966,1922331430,"fork","978314596.728"
225,"WasInformedBy",1084520909,1265958966,1922331430,"fork","978314596.728"
226,"Used",307429866,1270364885,-97137843,"read","978314596.729"
227,"WasInformedBy",-1626879486,1922331433,1270364885,NULL,NULL
228,"WasInformedBy",-974907312,1922331491,1922331433,NULL,NULL
229,"WasInformedBy",-974907215,1922331492,1922331433,NULL,NULL
230,"WasInformedBy",1087668717,1265959019,1922331491,"fork","978314596.795"
231,"WasInformedBy",1087668717,1265959019,1922331491,"fork","978314596.795"
232,"WasInformedBy",1087668717,1265959019,1922331491,"fork","978314596.795"
233,"WasInformedBy",1087668717,1265959019,1922331491,"fork","978314596.795"
234,"WasInformedBy",1087621672,1265959019,1922331491,"fork","978314596.796"
235,"WasInformedBy",1016809538,1265959019,1922331491,"fork","978314596.839"
236,"Used",239741520,1270364885,-97137843,"read","978314596.840"
237,"WasInformedBy",-1626879777,1922331430,1270364885,NULL,NULL
238,"WasInformedBy",-974907024,1922331494,1922331430,NULL,NULL
239,"WasInformedBy",-974907121,1922331493,1922331430,NULL,NULL
240,"WasInformedBy",1017120522,1265959024,1922331493,"fork","978314596.845"
241,"WasInformedBy",1017120522,1265959024,1922331493,"fork","978314596.845"
242,"WasInformedBy",1017120522,1265959024,1922331493,"fork","978314596.845"
243,"WasInformedBy",1017148749,1265959024,1922331493,"fork","978314596.846"
244,"WasInformedBy",1017148749,1265959024,1922331493,"fork","978314596.846"
245,"WasInformedBy",1017148749,1265959024,1922331493,"fork","978314596.846"
246,"Used",240014381,1270364885,-97137843,"read","978314596.847"
247,"WasInformedBy",-1626879292,1922331435,1270364885,NULL,NULL
248,"WasInformedBy",-974906825,1922331496,1922331435,NULL,NULL
249,"WasInformedBy",-974907698,1922331487,1922331435,NULL,NULL
250,"WasInformedBy",1017213539,1265959013,1922331487,"fork","978314596.850"
251,"WasInformedBy",1017213539,1265959013,1922331487,"fork","978314596.850"
252,"WasInformedBy",1017213539,1265959013,1922331487,"fork","978314596.850"
253,"WasInformedBy",1017213539,1265959013,1922331487,"fork","978314596.850"
254,"WasInformedBy",1017166494,1265959013,1922331487,"fork","978314596.851"
255,"WasInformedBy",1017166494,1265959013,1922331487,"fork","978314596.851"
256,"Used",240033199,1270364885,-97137843,"read","978314596.852"
257,"WasInformedBy",-1626878516,1922331443,1270364885,NULL,NULL
258,"WasInformedBy",-974908369,1922331480,1922331443,NULL,NULL
259,"WasInformedBy",-974906138,1922331503,1922331443,NULL,NULL
260,"WasInformedBy",1017179799,1265959053,1922331503,"fork","978314596.854"
261,"WasInformedBy",1017179799,1265959053,1922331503,"fork","978314596.854"
262,"WasInformedBy",1017179799,1265959053,1922331503,"fork","978314596.854"
263,"WasInformedBy",1038827359,1265959053,1922331503,"fork","978314597.152"
264,"WasInformedBy",1038780314,1265959053,1922331503,"fork","978314597.153"
265,"WasInformedBy",1038780314,1265959053,1922331503,"fork","978314597.153"
266,"Used",260438771,1270364885,-97137843,"read","978314597.198"
267,"WasInformedBy",-1626876479,1922331464,1270364885,NULL,NULL
268,"WasInformedBy",1037594644,1265959052,1922331464,"fork","978314597.199"
269,"WasInformedBy",977668723,1265959052,1922331464,"fork","978314597.200"
270,"WasInformedBy",977668723,1265959052,1922331464,"fork","978314597.200"
271,"Used",199327316,1270364885,-97137843,"read","978314597.241"
272,"WasInformedBy",-1626876576,1922331463,1270364885,NULL,NULL
273,"WasInformedBy",-719487805,1267515786,1270364885,NULL,NULL
274,"WasInformedBy",315956054,1265959050,1267515786,"fork","978314597.292"
275,"Used",-1061720832,1267515786,-1076140352,"read","978314597.292"
276,"WasInformedBy",315956054,1265959050,1267515786,"fork","978314597.292"
277,"Used",-1061720832,1267515786,-1076140352,"read","978314597.292"
278,"WasInformedBy",315956054,1265959050,1267515786,"fork","978314597.292"
279,"Used",-1061720832,1267515786,-1076140352,"read","978314597.292"
280,"WasInformedBy",315956054,1265959050,1267515786,"fork","978314597.292"
281,"Used",-1061720832,1267515786,-1076140352,"read","978314597.292"
282,"WasInformedBy",315956054,1265959050,1267515786,"fork","978314597.292"
283,"Used",-1061730241,1267515786,-1076140352,"read","978314597.293"
284,"WasInformedBy",315946645,1265959050,1267515786,"fork","978314597.293"
285,"Used",-1061702014,1267515786,-1076140352,"read","978314597.294"
286,"WasInformedBy",333061616,1265959050,1267515786,"fork","978314597.302"
287,"Used",-1044615270,1267515786,-1076140352,"read","978314597.302"
288,"WasInformedBy",333061616,1265959050,1267515786,"fork","978314597.302"
289,"Used",-1044615270,1267515786,-1076140352,"read","978314597.302"
290,"WasInformedBy",333061616,1265959050,1267515786,"fork","978314597.302"
291,"Used",-1044615270,1267515786,-1076140352,"read","978314597.302"
292,"WasInformedBy",333061616,1265959050,1267515786,"fork","978314597.302"
293,"Used",-1044624679,1267515786,-1076140352,"read","978314597.303"
294,"WasInformedBy",333052207,1265959050,1267515786,"fork","978314597.303"
295,"Used",-1044624679,1267515786,-1076140352,"read","978314597.303"
296,"WasInformedBy",333306250,1265959050,1267515786,"fork","978314597.304"
297,"Used",-1044370636,1267515786,-1076140352,"read","978314597.304"
298,"WasInformedBy",333306250,1265959050,1267515786,"fork","978314597.304"
299,"Used",-1044370636,1267515786,-1076140352,"read","978314597.304"
300,"WasInformedBy",333306250,1265959050,1267515786,"fork","978314597.304"
301,"Used",-1044370636,1267515786,-1076140352,"read","978314597.304"
302,"WasInformedBy",333306250,1265959050,1267515786,"fork","978314597.304"
303,"Used",-1044370636,1267515786,-1076140352,"read","978314597.304"
